scenario,model,crps_mean,crps_std,crps_min,crps_max,width80_mean
Oracle (perfect),SARIMAX baseline,26.925329371752508,0.0,26.925329371752508,26.925329371752508,139.26127532246426
Oracle (perfect),XGBoost,27.29818158010823,0.0,27.29818158010823,27.29818158010823,84.85100274512001
Oracle (perfect),Ensemble S+X,26.115865574587346,0.0,26.115865574587346,26.115865574587346,122.40680782275892
Short-range (1-4 wk),SARIMAX baseline,27.344331028989437,0.6984539237191515,26.077548767900556,28.654525291668186,138.25070382591082
Short-range (1-4 wk),XGBoost,27.42869617350239,0.4564632679637916,26.647287536865925,28.13072240216846,88.93530712460827
Short-range (1-4 wk),Ensemble S+X,26.39325712241852,0.44011158590889393,25.46807432886306,27.27736267584374,123.16136938867535
Extended-range (1-8 wk),SARIMAX baseline,28.93875562083763,0.8813926938116168,27.37419492509813,30.823686950665998,137.0331976763035
Extended-range (1-8 wk),XGBoost,27.2332637605513,0.5225234383640277,25.84023688419766,28.082719426298205,98.95038552080382
Extended-range (1-8 wk),Ensemble S+X,27.548161629034965,0.7597213893825837,25.849867706533278,29.358312842540037,129.62092844343613
Seasonal (1-26 wk),SARIMAX baseline,30.821768275755478,1.1380516063785902,28.52133580152273,33.31517590630931,136.29538107740703
Seasonal (1-26 wk),XGBoost,27.876621871407224,0.6202039787878249,26.834535744595865,29.27323588616089,109.32718699318146
Seasonal (1-26 wk),Ensemble S+X,29.531782237328244,1.148439520913724,26.742373293671385,32.37504277781117,140.74268771372988
